,formula,full_name,band_gap,formation_energy,nn_ave_eleneg,o2p_center_from_vbm,vacancy_formation_energy,charge
544,NaBe4SbO7,NaBe4SbO7_Va_O1,3.5778,-2.711356884350132,1.941668185879593,2.7014986752753343,5.391052350000232,0
545,NaBe4SbO7,NaBe4SbO7_Va_O2,3.5778,-2.711356884350132,1.7424837757829752,3.0993121486146733,8.063918420000286,0
546,NaBe4SbO7,NaBe4SbO7_Va_O3,3.5778,-2.711356884350132,1.9372572126615384,2.725431937952296,5.474758600000209,0
547,NaBiO2,NaBiO2_Va_O1,0.8683999999999994,-1.7202619228879303,1.6366443656571326,2.7247514926830427,4.0020247000000015,0
548,NaBiO3,NaBiO3_Va_O1,1.226,-1.584092498310345,2.1500412786154803,1.5134699260394022,2.1512824200000384,0
549,NaCaAsO4,NaCaAsO4_Va_O1,3.6764,-2.503265028793104,1.8405279615041128,1.9926960198065855,3.669831690000033,0
550,NaCaAsO4,NaCaAsO4_Va_O2,3.6764,-2.503265028793104,1.8789918512128596,2.126140341009416,3.481432159999949,0
551,NaCaAsO4,NaCaAsO4_Va_O3,3.6764,-2.503265028793104,1.9528537329280056,2.0447384729771314,3.8879402999999777,0
552,NaGaO2,NaGaO2_Va_O1,2.9321,-2.2214824766379304,1.5959280894452252,1.7539251355139929,4.927023199999789,0
553,NaGaO2,NaGaO2_Va_O2,2.9321,-2.2214824766379304,1.5658864972153843,1.7928204070167568,5.038493759999833,0
554,NaGeSbO5,NaGeSbO5_Va_O1,2.1107,-2.0808606433189665,2.5932904205604874,2.2361883546979664,3.935986659999921,0
555,NaGeSbO5,NaGeSbO5_Va_O2,2.1107,-2.0808606433189665,2.2647957572540687,2.646514442124263,4.077095010000116,0
556,NaGeSbO5,NaGeSbO5_Va_O3,2.1107,-2.0808606433189665,2.3735590324656877,2.499235729266061,4.121645650000014,0
557,NaIn(GeO3)2,NaIn(GeO3)2_Va_O1,2.2328,-2.127569738655173,2.3141272338567744,1.7247028897549397,3.7977860399999575,0
558,NaIn(GeO3)2,NaIn(GeO3)2_Va_O2,2.2328,-2.127569738655173,2.2469402252806696,2.4611478309729655,4.373651269999991,0
559,NaIn(GeO3)2,NaIn(GeO3)2_Va_O3,2.2328,-2.127569738655173,2.2472316493621367,2.783870360184764,4.102513089999954,0
560,NaIn(SiO3)2,NaIn(SiO3)2_Va_O1,3.5292,-2.8000169371551724,2.279725300825057,1.9256079806937965,5.579766739999977,0
561,NaIn(SiO3)2,NaIn(SiO3)2_Va_O2,3.5292,-2.8000169371551724,2.213274541877889,3.4063354472321494,6.589835279999997,0
