,formula,full_name,band_gap,formation_energy,nn_ave_eleneg,o2p_center_from_vbm,vacancy_formation_energy,charge,vacancy_index,vr_max,Eb_sum
1789,KLi3PbO4,KLi3PbO4_Va_O3,1.5082999999999998,-1.8470879364444448,1.2242356931611795,1.209322431491664,1.5931525107184004,2,119,-0.2712847561180753,6.78527717112693
1790,KLi3PbO4,KLi3PbO4_Va_O4,1.5082999999999998,-1.8470879364444448,1.1896122047059587,1.1017051414130348,2.0066241184357714,2,135,-0.2712847561180753,7.50178514328082
1792,KMgBO3,KMgBO3_Va_O1,4.4397,-2.7871217324444446,1.640229748755042,2.3109804950418784,2.831152056912553,2,191,-1.8820736227458112,8.739540739986678
1793,KNa2GaO3,KNa2GaO3_Va_O1,2.6474,-1.935132645871921,1.1397465836804015,1.211066657191185,2.964285508028129,2,111,-1.8812876656363955,6.759663577932416
1794,KNa2GaO3,KNa2GaO3_Va_O2,2.6474,-1.935132645871921,1.360742949064231,2.119627629136315,1.835966215876172,2,103,-1.8812876656363955,8.11226527764626
1795,KNa2GaO3,KNa2GaO3_Va_O3,2.6474,-1.935132645871921,1.1333040014952391,1.2326162022518727,2.92182066305184,2,91,-1.8812876656363955,6.579553313880909
1796,KNaGeO3,KNaGeO3_Va_O1,2.9851,-2.117326609925288,1.8437766363678552,2.9868647661268186,0.5404177226887161,2,113,-1.502819088333178,9.395149333312963
1797,KNaGeO3,KNaGeO3_Va_O2,2.9851,-2.117326609925288,1.2895395253474982,1.5852786746896497,1.8345381315928653,2,137,-1.502819088333178,7.51071197111571
1798,KNaGeO3,KNaGeO3_Va_O3,2.9851,-2.117326609925288,1.4978200683451948,1.417702878339132,2.105067894565124,2,143,-1.502819088333178,6.6511487113880445
1799,KSbO2,KSbO2_Va_O1,1.8589,-1.8866991319999995,1.802212692901336,2.920970269980452,0.4420414198036104,2,191,-1.2369755737418262,8.717900788408986
1800,KSbO3,KSbO3_Va_O1,2.7925,-2.0533213286,2.2357932253282184,1.8010702005981054,0.5162380376148104,2,269,-0.5208045461292565,6.324043272509368
1801,KTlO2,KTlO2_Va_O1,0.8886000000000001,-1.3916903565833332,1.4993800130188202,1.6564606306879983,-0.346045799690813,2,299,-0.5778080287901701,6.606782874193142
1802,KTlO,KTlO_Va_O1,1.0755,-1.2013808837777784,1.3166777995745214,2.1122458826960884,1.1366669548090025,2,95,-0.8674893634033586,6.832146926043754
1803,Li2BeSiO4,Li2BeSiO4_Va_O1,5.9582,-2.9697805114583327,1.5815138258799837,2.287370800501437,2.078336457017685,2,215,-2.356834901289411,10.380923964197494
1804,Li2BeSiO4,Li2BeSiO4_Va_O2,5.9582,-2.9697805114583327,1.5767993336371335,2.3139119668091293,2.658482438533027,2,287,-2.356834901289411,10.630783660894382
1805,Li2BeSiO4,Li2BeSiO4_Va_O3,5.9582,-2.9697805114583327,1.5467056727564814,2.3039801600180567,2.8648529138900645,2,233,-2.356834901289411,10.840005550323301
